Razonamiento;Lectura_critica;Competencias_ciudadanas;Ingles;Resultado
119;105;110;148;Aceptable Desmpeno
143;169;98;139;Aceptable Desmpeno
144;139;129;146;Aceptable Desmpeno
126;179;172;125;Buen Desempeno
139;122;104;131;Aceptable Desmpeno
141;179;141;178;Buen Desempeno
139;133;72;105;Aceptable Desmpeno
167;136;135;148;Aceptable Desmpeno
176;223;169;187;Buen Desempeno
128;149;197;184;Buen Desempeno
112;133;169;188;Buen Desempeno
173;196;176;156;Buen Desempeno
134;151;131;143;Aceptable Desmpeno
132;131;123;141;Aceptable Desmpeno
116;169;157;167;Buen Desempeno
158;138;196;164;Buen Desempeno
159;124;142;134;Aceptable Desmpeno
199;180;178;184;Buen Desempeno
82;141;101;150;Aceptable Desmpeno
160;183;199;149;Buen Desempeno
156;152;171;169;Buen Desempeno
132;144;126;122;Aceptable Desmpeno
133;153;169;152;Buen Desempeno
172;144;174;144;Buen Desempeno
156;169;119;141;Aceptable Desmpeno
161;109;135;130;Aceptable Desmpeno
169;154;169;156;Buen Desempeno
163;181;161;150;Buen Desempeno
170;125;99;161;Aceptable Desmpeno
102;130;126;121;Aceptable Desmpeno
140;131;168;147;Aceptable Desmpeno
139;140;144;154;Aceptable Desmpeno
144;172;140;145;Buen Desempeno
129;105;112;124;Aceptable Desmpeno
160;164;147;152;Buen Desempeno
168;125;134;163;Buen Desempeno
158;197;185;151;Buen Desempeno
166;126;180;160;Buen Desempeno
157;168;168;158;Buen Desempeno
193;169;191;188;Buen Desempeno
114;175;130;139;Aceptable Desmpeno
180;185;162;160;Buen Desempeno
164;174;169;153;Buen Desempeno
117;105;84;127;Regular Desempeno
134;139;160;163;Buen Desempeno
100;116;87;123;Regular Desempeno
152;141;141;134;Aceptable Desmpeno
130;140;157;140;Aceptable Desmpeno
99;98;117;136;Aceptable Desmpeno
161;144;154;138;Buen Desempeno
153;147;147;195;Buen Desempeno
140;172;147;163;Buen Desempeno
186;170;161;139;Buen Desempeno
192;178;198;169;Buen Desempeno
145;146;147;143;Aceptable Desmpeno
166;191;132;120;Buen Desempeno
159;147;155;149;Buen Desempeno
148;146;149;176;Buen Desempeno
177;232;189;209;Buen Desempeno
151;116;145;129;Aceptable Desmpeno
158;163;150;118;Buen Desempeno
179;140;108;139;Aceptable Desmpeno
151;161;138;137;Aceptable Desmpeno
170;174;130;202;Buen Desempeno
169;140;150;174;Buen Desempeno
139;169;164;196;Buen Desempeno
196;176;193;172;Buen Desempeno
183;163;140;142;Buen Desempeno
190;154;180;153;Buen Desempeno
166;138;154;151;Buen Desempeno
163;145;139;168;Buen Desempeno
203;162;140;142;Buen Desempeno
198;167;154;161;Buen Desempeno
170;136;167;196;Buen Desempeno
187;190;154;169;Buen Desempeno
167;165;102;189;Buen Desempeno
138;163;128;167;Buen Desempeno
186;212;180;105;Buen Desempeno
148;165;162;171;Buen Desempeno
174;149;166;195;Buen Desempeno
190;177;186;166;Buen Desempeno
202;138;168;176;Buen Desempeno
146;88;94;181;Aceptable Desmpeno
134;140;142;129;Aceptable Desmpeno
166;144;180;155;Buen Desempeno
151;155;179;178;Buen Desempeno
193;193;185;197;Buen Desempeno
183;160;157;150;Buen Desempeno
175;178;137;155;Buen Desempeno
213;189;194;206;Buen Desempeno
146;150;138;131;Aceptable Desmpeno
182;167;169;174;Buen Desempeno
188;191;198;151;Buen Desempeno
169;178;164;182;Buen Desempeno
224;151;157;150;Buen Desempeno
188;157;168;142;Buen Desempeno
198;167;119;132;Buen Desempeno
138;103;112;138;Aceptable Desmpeno
157;132;161;192;Buen Desempeno
168;174;112;177;Buen Desempeno
203;210;229;171;Buen Desempeno
138;175;170;183;Buen Desempeno
193;160;184;164;Buen Desempeno
192;174;185;138;Buen Desempeno
211;152;147;182;Buen Desempeno
175;162;156;152;Buen Desempeno
192;186;186;134;Buen Desempeno
193;179;175;180;Buen Desempeno
195;147;141;162;Buen Desempeno
205;181;161;192;Buen Desempeno
197;154;109;177;Buen Desempeno
185;158;134;183;Buen Desempeno
213;155;176;163;Buen Desempeno
210;185;204;180;Buen Desempeno
163;169;142;150;Buen Desempeno
191;196;148;199;Buen Desempeno
173;157;135;150;Buen Desempeno
165;151;147;176;Buen Desempeno
183;165;151;127;Buen Desempeno
174;166;171;161;Buen Desempeno
178;149;176;186;Buen Desempeno
233;171;158;191;Buen Desempeno
162;163;136;191;Buen Desempeno
222;185;197;184;Buen Desempeno
198;181;179;177;Buen Desempeno
148;97;126;163;Aceptable Desmpeno
189;144;174;182;Buen Desempeno
148;141;149;166;Buen Desempeno
176;181;167;163;Buen Desempeno
211;149;158;168;Buen Desempeno
155;174;155;145;Buen Desempeno
183;157;148;177;Buen Desempeno
215;187;171;169;Buen Desempeno
169;119;139;165;Buen Desempeno
202;235;185;189;Buen Desempeno
210;200;181;171;Buen Desempeno
117;114;102;138;Aceptable Desmpeno
191;176;166;162;Buen Desempeno
190;160;184;134;Buen Desempeno
130;90;128;137;Aceptable Desmpeno
215;134;134;147;Buen Desempeno
205;159;141;152;Buen Desempeno
131;133;106;142;Aceptable Desmpeno
186;159;118;164;Buen Desempeno
169;158;146;199;Buen Desempeno
156;142;144;164;Buen Desempeno
169;157;170;178;Buen Desempeno
197;135;102;184;Buen Desempeno
174;146;162;95;Aceptable Desmpeno
176;112;129;156;Aceptable Desmpeno
127;135;136;148;Aceptable Desmpeno
193;127;156;193;Buen Desempeno
170;142;95;179;Aceptable Desmpeno
199;182;208;209;Buen Desempeno
181;170;154;143;Buen Desempeno
157;108;123;164;Aceptable Desmpeno
187;175;176;175;Buen Desempeno
159;170;104;180;Buen Desempeno
181;138;132;154;Buen Desempeno
150;155;130;151;Aceptable Desmpeno
204;176;151;141;Buen Desempeno
183;164;138;146;Buen Desempeno
206;154;180;161;Buen Desempeno
134;124;139;170;Aceptable Desmpeno
182;98;108;142;Aceptable Desmpeno
192;153;169;188;Buen Desempeno
180;146;158;170;Buen Desempeno
185;216;157;194;Buen Desempeno
203;140;147;148;Buen Desempeno
191;181;186;181;Buen Desempeno
166;169;177;169;Buen Desempeno
220;181;193;177;Buen Desempeno
146;181;174;157;Buen Desempeno
199;173;171;200;Buen Desempeno
222;175;167;184;Buen Desempeno
179;123;136;155;Buen Desempeno
158;132;119;136;Aceptable Desmpeno
155;150;126;163;Buen Desempeno
185;193;157;126;Buen Desempeno
152;134;143;173;Buen Desempeno
114;102;76;141;Regular Desempeno
161;182;173;141;Buen Desempeno
170;155;149;149;Buen Desempeno
114;108;125;139;Aceptable Desmpeno
178;175;152;127;Buen Desempeno
127;183;159;167;Buen Desempeno
98;107;118;119;Aceptable Desmpeno
144;165;140;157;Buen Desempeno
158;162;172;154;Buen Desempeno
139;108;120;140;Aceptable Desmpeno
161;184;172;154;Buen Desempeno
163;157;148;131;Buen Desempeno
124;127;94;152;Aceptable Desmpeno
176;156;144;155;Buen Desempeno
168;174;201;160;Buen Desempeno
159;188;179;198;Buen Desempeno
300;223;224;212;Excelente Desempeno
148;168;183;196;Buen Desempeno
143;213;215;197;Buen Desempeno
157;186;173;204;Buen Desempeno
161;176;163;192;Buen Desempeno
132;132;135;152;Aceptable Desmpeno
108;148;172;168;Buen Desempeno
141;197;200;182;Buen Desempeno
154;195;198;198;Buen Desempeno
116;169;180;157;Buen Desempeno
165;173;182;170;Buen Desempeno
136;166;198;184;Buen Desempeno
131;175;190;154;Buen Desempeno
113;171;162;152;Buen Desempeno
180;180;215;172;Buen Desempeno
87;93;139;128;Aceptable Desmpeno
150;192;175;192;Buen Desempeno
189;202;189;215;Buen Desempeno
170;191;172;187;Buen Desempeno
139;188;216;148;Buen Desempeno
88;122;125;192;Aceptable Desmpeno
105;165;178;148;Buen Desempeno
177;201;136;208;Buen Desempeno
136;185;203;202;Buen Desempeno
150;163;184;188;Buen Desempeno
151;162;207;155;Buen Desempeno
128;157;153;197;Buen Desempeno
121;157;181;153;Buen Desempeno
176;196;209;195;Buen Desempeno
127;149;157;113;Aceptable Desmpeno
163;141;146;166;Buen Desempeno
173;184;221;158;Buen Desempeno
104;173;206;171;Buen Desempeno
155;183;193;185;Buen Desempeno
137;165;176;192;Buen Desempeno
99;179;190;189;Buen Desempeno
118;146;164;136;Aceptable Desmpeno
149;174;147;174;Buen Desempeno
181;161;182;199;Buen Desempeno
145;160;179;194;Buen Desempeno
133;170;185;164;Buen Desempeno
196;173;182;165;Buen Desempeno
105;175;181;173;Buen Desempeno
92;206;231;186;Buen Desempeno
171;200;206;215;Buen Desempeno
141;185;211;203;Buen Desempeno
184;222;227;219;Excelente Desempeno
124;111;115;140;Aceptable Desmpeno
101;132;161;146;Aceptable Desmpeno
143;178;177;158;Buen Desempeno
162;191;180;202;Buen Desempeno
188;193;179;179;Buen Desempeno
184;100;109;114;Aceptable Desmpeno
162;158;136;164;Buen Desempeno
208;173;163;183;Buen Desempeno
131;121;130;134;Aceptable Desmpeno
121;98;113;129;Aceptable Desmpeno
164;140;152;133;Buen Desempeno
220;207;161;163;Buen Desempeno
200;199;107;192;Buen Desempeno
181;166;155;157;Buen Desempeno
173;141;170;107;Buen Desempeno
151;166;139;160;Buen Desempeno
178;165;155;155;Buen Desempeno
141;142;108;154;Aceptable Desmpeno
150;123;103;124;Aceptable Desmpeno
170;152;169;169;Buen Desempeno
176;144;144;131;Buen Desempeno
132;188;173;133;Buen Desempeno
155;119;157;201;Buen Desempeno
165;196;166;150;Buen Desempeno
122;150;156;147;Aceptable Desmpeno
131;133;143;122;Aceptable Desmpeno
146;104;137;139;Aceptable Desmpeno
157;155;102;144;Aceptable Desmpeno
128;172;161;173;Buen Desempeno
173;108;96;148;Aceptable Desmpeno
181;158;183;192;Buen Desempeno
144;171;135;157;Buen Desempeno
101;121;135;91;Aceptable Desmpeno
151;112;118;127;Aceptable Desmpeno
167;102;154;144;Aceptable Desmpeno
142;117;138;144;Aceptable Desmpeno
179;162;120;144;Buen Desempeno
185;168;155;148;Buen Desempeno
163;126;146;138;Aceptable Desmpeno
205;163;154;165;Buen Desempeno
174;155;176;166;Buen Desempeno
135;171;186;155;Buen Desempeno
155;202;163;147;Buen Desempeno
171;144;148;135;Buen Desempeno
97;108;127;128;Aceptable Desmpeno
151;136;149;135;Aceptable Desmpeno
158;166;104;135;Aceptable Desmpeno
155;173;142;152;Buen Desempeno
173;126;126;133;Aceptable Desmpeno
135;129;126;151;Aceptable Desmpeno
136;123;152;131;Aceptable Desmpeno
145;182;178;176;Buen Desempeno
99;105;114;107;Regular Desempeno
148;156;135;138;Aceptable Desmpeno
128;176;177;157;Buen Desempeno
164;173;128;142;Buen Desempeno
144;169;145;150;Buen Desempeno
175;183;171;169;Buen Desempeno
167;163;130;118;Aceptable Desmpeno
166;178;154;159;Buen Desempeno
156;184;178;153;Buen Desempeno
144;156;180;126;Buen Desempeno
133;118;113;142;Aceptable Desmpeno
148;142;87;162;Aceptable Desmpeno
169;139;165;119;Buen Desempeno
134;145;130;139;Aceptable Desmpeno
172;202;172;157;Buen Desempeno
172;186;142;152;Buen Desempeno
127;147;130;127;Aceptable Desmpeno
102;105;101;137;Aceptable Desmpeno
139;152;94;98;Aceptable Desmpeno
120;133;121;150;Aceptable Desmpeno
123;187;183;161;Buen Desempeno
126;104;99;122;Aceptable Desmpeno
139;127;111;122;Aceptable Desmpeno
103;174;162;122;Aceptable Desmpeno
156;175;133;138;Buen Desempeno
101;126;95;127;Aceptable Desmpeno
153;148;174;138;Buen Desempeno
113;129;150;133;Aceptable Desmpeno
92;121;126;132;Aceptable Desmpeno
130;136;163;128;Aceptable Desmpeno
171;142;141;146;Buen Desempeno
166;163;175;143;Buen Desempeno
184;208;213;215;Buen Desempeno
142;179;128;130;Aceptable Desmpeno
71;196;101;209;Aceptable Desmpeno
146;198;191;204;Buen Desempeno
160;209;187;201;Buen Desempeno
184;183;177;182;Buen Desempeno
134;182;186;151;Buen Desempeno
145;138;135;162;Aceptable Desmpeno
116;143;146;165;Aceptable Desmpeno
153;206;175;156;Buen Desempeno
151;205;178;149;Buen Desempeno
164;170;199;167;Buen Desempeno
114;205;124;158;Buen Desempeno
165;204;208;196;Buen Desempeno
167;193;193;193;Buen Desempeno
181;210;162;168;Buen Desempeno
151;184;182;140;Buen Desempeno
143;172;152;173;Buen Desempeno
134;163;166;140;Buen Desempeno
93;161;144;158;Aceptable Desmpeno
123;184;175;175;Buen Desempeno
117;207;198;176;Buen Desempeno
145;159;170;200;Buen Desempeno
142;151;104;145;Aceptable Desmpeno
169;172;144;159;Buen Desempeno
175;174;173;175;Buen Desempeno
156;160;117;148;Aceptable Desmpeno
160;170;159;137;Buen Desempeno
151;122;131;113;Aceptable Desmpeno
152;124;130;134;Aceptable Desmpeno
131;122;153;167;Aceptable Desmpeno
193;162;166;162;Buen Desempeno
133;147;144;140;Aceptable Desmpeno
127;136;135;145;Aceptable Desmpeno
165;175;134;169;Buen Desempeno
164;113;133;161;Aceptable Desmpeno
175;109;133;142;Aceptable Desmpeno
135;138;108;149;Aceptable Desmpeno
135;177;146;149;Buen Desempeno
174;174;165;163;Buen Desempeno
106;193;165;177;Buen Desempeno
188;204;211;108;Buen Desempeno
144;167;129;172;Buen Desempeno
180;223;178;175;Buen Desempeno
160;138;143;152;Buen Desempeno
169;120;101;196;Aceptable Desmpeno
199;205;210;229;Excelente Desempeno
124;119;151;139;Aceptable Desmpeno
166;148;133;110;Aceptable Desmpeno
143;110;139;134;Aceptable Desmpeno
144;120;118;135;Aceptable Desmpeno
164;178;177;154;Buen Desempeno
167;151;165;182;Buen Desempeno
124;156;131;131;Aceptable Desmpeno
120;110;133;117;Aceptable Desmpeno
169;162;176;111;Buen Desempeno
161;192;157;180;Buen Desempeno
153;170;124;139;Aceptable Desmpeno
156;159;168;154;Buen Desempeno
145;148;173;140;Buen Desempeno
153;122;148;152;Aceptable Desmpeno
145;158;166;137;Buen Desempeno
101;124;121;143;Aceptable Desmpeno
155;143;143;155;Buen Desempeno
141;142;116;124;Aceptable Desmpeno
139;176;177;137;Buen Desempeno
132;128;145;143;Aceptable Desmpeno
128;146;130;166;Aceptable Desmpeno
186;136;149;145;Buen Desempeno
127;160;106;186;Aceptable Desmpeno
176;128;180;159;Buen Desempeno
142;141;133;140;Aceptable Desmpeno
114;142;114;154;Aceptable Desmpeno
143;137;146;159;Aceptable Desmpeno
194;147;118;165;Buen Desempeno
161;128;107;144;Aceptable Desmpeno
150;109;120;158;Aceptable Desmpeno
191;168;166;162;Buen Desempeno
172;156;162;174;Buen Desempeno
150;98;129;116;Aceptable Desmpeno
152;135;102;139;Aceptable Desmpeno
211;161;136;168;Buen Desempeno
132;153;167;146;Buen Desempeno
138;114;101;130;Aceptable Desmpeno
150;165;168;146;Buen Desempeno
172;200;194;168;Buen Desempeno
152;160;136;162;Buen Desempeno
159;141;135;137;Aceptable Desmpeno
176;177;195;148;Buen Desempeno
179;181;173;204;Buen Desempeno
186;180;196;163;Buen Desempeno
137;157;137;125;Aceptable Desmpeno
160;122;139;122;Aceptable Desmpeno
200;170;188;196;Buen Desempeno
128;116;119;141;Aceptable Desmpeno
157;134;143;165;Buen Desempeno
157;126;140;111;Aceptable Desmpeno
156;115;121;139;Aceptable Desmpeno
129;144;149;167;Buen Desempeno
143;134;147;154;Aceptable Desmpeno
114;120;131;145;Aceptable Desmpeno
145;142;153;154;Buen Desempeno
129;119;110;135;Aceptable Desmpeno
195;182;188;158;Buen Desempeno
80;101;88;158;Regular Desempeno
184;136;172;146;Buen Desempeno
143;174;181;167;Buen Desempeno
150;140;167;149;Buen Desempeno
156;167;103;97;Aceptable Desmpeno
190;137;116;173;Buen Desempeno
181;164;167;188;Buen Desempeno
139;113;81;172;Aceptable Desmpeno
128;140;165;153;Aceptable Desmpeno
144;145;171;166;Buen Desempeno
165;150;156;178;Buen Desempeno
179;148;169;150;Buen Desempeno
140;151;165;162;Buen Desempeno
175;173;165;149;Buen Desempeno
182;141;187;164;Buen Desempeno
96;113;95;138;Aceptable Desmpeno
146;166;121;145;Aceptable Desmpeno
158;138;122;189;Buen Desempeno
136;148;153;127;Aceptable Desmpeno
203;187;159;190;Buen Desempeno
135;165;180;169;Buen Desempeno
164;137;103;120;Aceptable Desmpeno
140;116;142;160;Aceptable Desmpeno
180;187;176;203;Buen Desempeno
155;168;191;84;Buen Desempeno
159;181;105;190;Buen Desempeno
131;114;125;133;Aceptable Desmpeno
162;154;168;158;Buen Desempeno
143;149;136;159;Aceptable Desmpeno
158;167;177;119;Buen Desempeno
123;94;128;147;Aceptable Desmpeno
197;163;161;198;Buen Desempeno
116;125;148;145;Aceptable Desmpeno
186;146;111;153;Buen Desempeno
178;163;172;201;Buen Desempeno
109;132;112;133;Aceptable Desmpeno
109;157;132;136;Aceptable Desmpeno
111;156;142;176;Aceptable Desmpeno
115;147;115;119;Aceptable Desmpeno
148;169;131;167;Buen Desempeno
167;176;161;149;Buen Desempeno
143;181;180;168;Buen Desempeno
145;178;125;194;Buen Desempeno
99;139;121;111;Aceptable Desmpeno
126;91;114;183;Aceptable Desmpeno
95;139;101;150;Aceptable Desmpeno
109;150;127;153;Aceptable Desmpeno
147;157;178;157;Buen Desempeno
171;161;178;180;Buen Desempeno
119;154;151;150;Aceptable Desmpeno
127;166;119;139;Aceptable Desmpeno
154;168;166;139;Buen Desempeno
133;173;177;171;Buen Desempeno
134;144;100;136;Aceptable Desmpeno
129;161;150;174;Buen Desempeno
159;139;101;87;Aceptable Desmpeno
103;120;115;112;Aceptable Desmpeno
143;107;112;140;Aceptable Desmpeno
129;150;141;136;Aceptable Desmpeno
137;161;167;165;Buen Desempeno
107;138;162;110;Aceptable Desmpeno
162;149;157;150;Buen Desempeno
82;193;178;207;Buen Desempeno
133;166;189;193;Buen Desempeno
165;202;166;173;Buen Desempeno
160;188;191;170;Buen Desempeno
126;136;130;160;Aceptable Desmpeno
144;128;124;147;Aceptable Desmpeno
126;181;131;100;Aceptable Desmpeno
153;126;145;161;Aceptable Desmpeno
136;167;145;0;Aceptable Desmpeno
145;210;213;201;Buen Desempeno
145;183;184;167;Buen Desempeno
123;125;152;139;Aceptable Desmpeno
140;151;128;146;Aceptable Desmpeno
137;171;155;160;Buen Desempeno
131;175;168;160;Buen Desempeno
91;93;86;202;Aceptable Desmpeno
140;184;173;173;Buen Desempeno
153;193;159;106;Buen Desempeno
181;181;178;179;Buen Desempeno
87;140;134;148;Aceptable Desmpeno
131;154;148;203;Buen Desempeno
162;183;204;203;Buen Desempeno
161;161;144;174;Buen Desempeno
135;167;177;176;Buen Desempeno
126;118;133;140;Aceptable Desmpeno
123;157;152;147;Aceptable Desmpeno
149;198;175;202;Buen Desempeno
135;148;142;136;Aceptable Desmpeno
170;186;166;174;Buen Desempeno
117;169;145;169;Buen Desempeno
85;132;161;148;Aceptable Desmpeno
139;194;142;152;Buen Desempeno
156;187;162;176;Buen Desempeno
130;142;147;101;Aceptable Desmpeno
172;212;191;155;Buen Desempeno
125;163;85;180;Aceptable Desmpeno
114;115;129;139;Aceptable Desmpeno
145;158;145;177;Buen Desempeno
162;163;182;191;Buen Desempeno
153;149;138;165;Buen Desempeno
176;156;168;152;Buen Desempeno
187;149;187;175;Buen Desempeno
177;136;165;112;Buen Desempeno
153;148;136;146;Aceptable Desmpeno
184;199;191;210;Buen Desempeno
133;167;169;166;Buen Desempeno
164;172;149;149;Buen Desempeno
199;186;207;189;Buen Desempeno
149;187;141;161;Buen Desempeno
105;133;115;146;Aceptable Desmpeno
183;166;198;176;Buen Desempeno
162;153;160;113;Buen Desempeno
154;141;131;169;Buen Desempeno
189;151;181;175;Buen Desempeno
170;168;149;171;Buen Desempeno
153;154;150;165;Buen Desempeno
131;190;169;176;Buen Desempeno
153;169;195;185;Buen Desempeno
158;147;170;181;Buen Desempeno
150;111;135;186;Aceptable Desmpeno
134;132;122;201;Buen Desempeno
220;172;199;201;Buen Desempeno
154;159;183;177;Buen Desempeno
133;162;146;139;Aceptable Desmpeno
180;170;168;187;Buen Desempeno
176;186;184;168;Buen Desempeno
177;170;174;206;Buen Desempeno
166;153;110;201;Buen Desempeno
172;188;168;174;Buen Desempeno
156;157;127;123;Aceptable Desmpeno
192;163;215;194;Buen Desempeno
167;167;175;97;Buen Desempeno
136;161;123;170;Buen Desempeno
166;174;174;188;Buen Desempeno
133;137;123;148;Aceptable Desmpeno
169;142;170;169;Buen Desempeno
161;154;169;178;Buen Desempeno
178;166;188;186;Buen Desempeno
180;186;202;222;Buen Desempeno
140;166;167;153;Buen Desempeno
180;160;188;169;Buen Desempeno
136;178;138;164;Buen Desempeno
143;156;138;162;Buen Desempeno
214;198;179;188;Buen Desempeno
217;164;182;183;Buen Desempeno
159;140;143;162;Buen Desempeno
168;184;157;174;Buen Desempeno
172;200;195;182;Buen Desempeno
141;129;144;128;Aceptable Desmpeno
172;143;166;143;Buen Desempeno
190;181;188;178;Buen Desempeno
132;127;135;167;Aceptable Desmpeno
163;109;133;132;Aceptable Desmpeno
169;177;167;177;Buen Desempeno
152;137;91;166;Aceptable Desmpeno
197;176;157;168;Buen Desempeno
187;157;124;160;Buen Desempeno
161;155;135;180;Buen Desempeno
142;125;181;170;Buen Desempeno
167;153;164;127;Buen Desempeno
180;199;198;190;Buen Desempeno
147;163;119;152;Aceptable Desmpeno
193;203;194;213;Buen Desempeno
192;187;207;183;Buen Desempeno
175;179;196;200;Buen Desempeno
143;162;179;189;Buen Desempeno
194;169;178;193;Buen Desempeno
167;188;203;206;Buen Desempeno
141;188;163;186;Buen Desempeno
190;134;151;161;Buen Desempeno
121;136;87;110;Aceptable Desmpeno
159;162;185;171;Buen Desempeno
203;188;205;198;Buen Desempeno
167;184;198;207;Buen Desempeno
207;154;80;181;Buen Desempeno
152;162;169;180;Buen Desempeno
156;173;159;174;Buen Desempeno
131;128;127;136;Aceptable Desmpeno
185;175;188;209;Buen Desempeno
96;115;94;139;Aceptable Desmpeno
150;172;170;162;Buen Desempeno
201;110;137;189;Buen Desempeno
189;189;187;200;Buen Desempeno
160;166;181;146;Buen Desempeno
150;165;168;140;Buen Desempeno
119;148;178;187;Buen Desempeno
170;168;176;158;Buen Desempeno
165;200;138;151;Buen Desempeno
170;187;156;179;Buen Desempeno
160;128;95;124;Aceptable Desmpeno
184;158;157;170;Buen Desempeno
128;124;78;132;Aceptable Desmpeno
142;131;110;151;Aceptable Desmpeno
204;139;152;159;Buen Desempeno
167;188;162;153;Buen Desempeno
199;171;166;177;Buen Desempeno
154;122;136;108;Aceptable Desmpeno
171;180;145;182;Buen Desempeno
207;176;151;187;Buen Desempeno
152;123;97;158;Aceptable Desmpeno
173;150;166;157;Buen Desempeno
233;205;205;188;Buen Desempeno
158;187;116;143;Buen Desempeno
142;112;143;135;Aceptable Desmpeno
174;147;186;169;Buen Desempeno
199;166;170;180;Buen Desempeno
155;160;138;165;Buen Desempeno
177;166;150;180;Buen Desempeno
116;126;98;144;Aceptable Desmpeno
172;121;140;190;Buen Desempeno
139;134;143;166;Aceptable Desmpeno
162;145;155;140;Buen Desempeno
168;178;176;174;Buen Desempeno
154;160;161;184;Buen Desempeno
147;165;163;136;Buen Desempeno
186;175;145;152;Buen Desempeno
174;192;161;172;Buen Desempeno
167;138;139;147;Buen Desempeno
146;153;144;140;Aceptable Desmpeno
200;179;162;184;Buen Desempeno
188;130;134;142;Buen Desempeno
168;151;162;150;Buen Desempeno
127;124;119;140;Aceptable Desmpeno
187;170;194;174;Buen Desempeno
195;161;138;141;Buen Desempeno
174;135;173;148;Buen Desempeno
208;177;197;199;Buen Desempeno
169;121;96;164;Aceptable Desmpeno
142;96;85;165;Aceptable Desmpeno
196;119;141;147;Buen Desempeno
183;185;147;132;Buen Desempeno
200;145;163;151;Buen Desempeno
176;148;100;183;Buen Desempeno
218;167;162;201;Buen Desempeno
129;135;114;158;Aceptable Desmpeno
180;166;166;177;Buen Desempeno
178;157;165;142;Buen Desempeno
162;157;145;156;Buen Desempeno
97;80;87;117;Regular Desempeno
173;128;97;148;Aceptable Desmpeno
147;108;125;169;Aceptable Desmpeno
164;126;107;150;Aceptable Desmpeno
136;88;176;161;Aceptable Desmpeno
182;183;147;183;Buen Desempeno
165;156;155;159;Buen Desempeno
171;67;93;149;Aceptable Desmpeno
196;183;191;166;Buen Desempeno
160;145;114;141;Aceptable Desmpeno
168;164;147;143;Buen Desempeno
160;148;132;161;Buen Desempeno
146;151;133;141;Aceptable Desmpeno
133;137;134;126;Aceptable Desmpeno
144;136;101;146;Aceptable Desmpeno
173;157;123;114;Aceptable Desmpeno
185;182;185;185;Buen Desempeno
189;184;166;147;Buen Desempeno
165;95;77;96;Regular Desempeno
172;134;167;108;Aceptable Desmpeno
210;179;175;189;Buen Desempeno
206;200;204;159;Buen Desempeno
197;160;164;184;Buen Desempeno
185;142;155;172;Buen Desempeno
210;169;189;183;Buen Desempeno
166;161;193;189;Buen Desempeno
187;175;181;205;Buen Desempeno
149;143;144;151;Aceptable Desmpeno
172;126;148;103;Aceptable Desmpeno
180;168;177;195;Buen Desempeno
175;129;110;154;Aceptable Desmpeno
156;122;148;141;Aceptable Desmpeno
217;159;147;130;Buen Desempeno
168;100;139;110;Aceptable Desmpeno
193;167;158;170;Buen Desempeno
172;110;106;141;Aceptable Desmpeno
190;196;180;182;Buen Desempeno
174;128;147;149;Buen Desempeno
186;90;93;168;Aceptable Desmpeno
181;207;159;167;Buen Desempeno
175;168;158;169;Buen Desempeno
192;161;130;115;Buen Desempeno
158;124;91;145;Aceptable Desmpeno
147;142;125;135;Aceptable Desmpeno
136;135;111;154;Aceptable Desmpeno
205;185;223;192;Buen Desempeno
166;170;154;160;Buen Desempeno
182;168;146;195;Buen Desempeno
179;175;135;201;Buen Desempeno
192;129;120;150;Buen Desempeno
147;88;129;139;Aceptable Desmpeno
159;154;142;165;Buen Desempeno
132;128;116;152;Aceptable Desmpeno
179;228;172;191;Buen Desempeno
182;187;179;166;Buen Desempeno
100;112;113;150;Aceptable Desmpeno
182;147;153;158;Buen Desempeno
190;159;92;156;Buen Desempeno
200;180;142;168;Buen Desempeno
195;152;178;150;Buen Desempeno
185;194;183;181;Buen Desempeno
163;138;100;156;Aceptable Desmpeno
181;162;178;176;Buen Desempeno
171;129;146;133;Aceptable Desmpeno
160;134;114;170;Aceptable Desmpeno
146;196;165;190;Buen Desempeno
137;97;105;133;Aceptable Desmpeno
201;190;174;188;Buen Desempeno
164;170;146;173;Buen Desempeno
157;185;159;160;Buen Desempeno
179;200;162;170;Buen Desempeno
144;195;140;139;Buen Desempeno
86;174;194;181;Buen Desempeno
164;189;180;137;Buen Desempeno
184;156;155;139;Buen Desempeno
203;173;169;160;Buen Desempeno
180;193;178;185;Buen Desempeno
184;168;189;196;Buen Desempeno
159;189;166;151;Buen Desempeno
166;168;142;163;Buen Desempeno
218;143;187;176;Buen Desempeno
196;165;171;177;Buen Desempeno
163;183;203;156;Buen Desempeno
105;165;111;141;Aceptable Desmpeno
175;133;179;173;Buen Desempeno
173;150;137;146;Buen Desempeno
147;161;137;146;Buen Desempeno
159;130;179;135;Buen Desempeno
129;164;176;150;Buen Desempeno
158;132;138;165;Buen Desempeno
159;137;165;138;Buen Desempeno
117;156;146;180;Buen Desempeno
135;164;171;177;Buen Desempeno
167;192;162;191;Buen Desempeno
155;159;107;201;Buen Desempeno
188;194;126;143;Buen Desempeno
171;154;200;184;Buen Desempeno
179;171;156;174;Buen Desempeno
80;60;93;179;Regular Desempeno
135;152;177;204;Buen Desempeno
133;108;126;139;Aceptable Desmpeno
131;186;179;219;Buen Desempeno
173;159;169;171;Buen Desempeno
134;82;128;138;Aceptable Desmpeno
129;133;143;135;Aceptable Desmpeno
174;190;204;206;Buen Desempeno
147;150;160;142;Buen Desempeno
